Commodity,Year,Attribute,Value
Beef: Per capita availability adjusted for loss,1970,Primary weight-Lbs/year,114.3640394
Beef: Per capita availability adjusted for loss,1971,Primary weight-Lbs/year,113.4313824
Beef: Per capita availability adjusted for loss,1972,Primary weight-Lbs/year,115.2597684
Beef: Per capita availability adjusted for loss,1973,Primary weight-Lbs/year,108.8125477
Beef: Per capita availability adjusted for loss,1974,Primary weight-Lbs/year,115.6848998
Beef: Per capita availability adjusted for loss,1975,Primary weight-Lbs/year,119.1336545
Beef: Per capita availability adjusted for loss,1976,Primary weight-Lbs/year,127.1968574
Beef: Per capita availability adjusted for loss,1977,Primary weight-Lbs/year,123.7097154
Beef: Per capita availability adjusted for loss,1978,Primary weight-Lbs/year,117.738655
Beef: Per capita availability adjusted for loss,1979,Primary weight-Lbs/year,105.3340682
Beef: Per capita availability adjusted for loss,1980,Primary weight-Lbs/year,103.2522312
Beef: Per capita availability adjusted for loss,1981,Primary weight-Lbs/year,104.2637092
Beef: Per capita availability adjusted for loss,1982,Primary weight-Lbs/year,103.8732715
Beef: Per capita availability adjusted for loss,1983,Primary weight-Lbs/year,106.1178294
Beef: Per capita availability adjusted for loss,1984,Primary weight-Lbs/year,105.7823351
Beef: Per capita availability adjusted for loss,1985,Primary weight-Lbs/year,106.8180854
Beef: Per capita availability adjusted for loss,1986,Primary weight-Lbs/year,107.7724016
Beef: Per capita availability adjusted for loss,1987,Primary weight-Lbs/year,103.8037807
Beef: Per capita availability adjusted for loss,1988,Primary weight-Lbs/year,102.7985812
Beef: Per capita availability adjusted for loss,1989,Primary weight-Lbs/year,97.66676429
Beef: Per capita availability adjusted for loss,1990,Primary weight-Lbs/year,95.79493066
Beef: Per capita availability adjusted for loss,1991,Primary weight-Lbs/year,94.8579537
Beef: Per capita availability adjusted for loss,1992,Primary weight-Lbs/year,94.14654131
Beef: Per capita availability adjusted for loss,1993,Primary weight-Lbs/year,92.00516532
Beef: Per capita availability adjusted for loss,1994,Primary weight-Lbs/year,95.16616369
Beef: Per capita availability adjusted for loss,1995,Primary weight-Lbs/year,95.54193299
Beef: Per capita availability adjusted for loss,1996,Primary weight-Lbs/year,95.69076089
Beef: Per capita availability adjusted for loss,1997,Primary weight-Lbs/year,93.61628985
Beef: Per capita availability adjusted for loss,1998,Primary weight-Lbs/year,95.01117693
Beef: Per capita availability adjusted for loss,1999,Primary weight-Lbs/year,96.16136773
Beef: Per capita availability adjusted for loss,2000,Primary weight-Lbs/year,96.48583636
Beef: Per capita availability adjusted for loss,2001,Primary weight-Lbs/year,94.34736411
Beef: Per capita availability adjusted for loss,2002,Primary weight-Lbs/year,96.42981396
Beef: Per capita availability adjusted for loss,2003,Primary weight-Lbs/year,92.59231101
Beef: Per capita availability adjusted for loss,2004,Primary weight-Lbs/year,94.19552234
Beef: Per capita availability adjusted for loss,2005,Primary weight-Lbs/year,93.38353064
